198,97.397,56.147,101,51.481,97.397,56.147,104
207,14.142,39.812,79,34.132,14.142,39.812,62
218,28.412,16.325,38,12.855,28.412,16.325,66
228,66.387,85.301,82,38.118,66.387,85.301,75
213,52.024,20.23,82,37.62,52.024,20.23,78
214,28.745,20.125,111,31.004,28.745,20.125,65
207,66.577,88.183,186,21.708,66.577,88.183,61
205,69.289,32.688,53,62.085,69.289,32.688,107
206,118.74,82.271,95,63.885,118.74,82.271,109
216,67.692,46.222,74,77.248,67.692,46.222,46
228,15.232,74.061,112,68.884,15.232,74.061,81
216,57.866,115.5,44,60.11,57.866,115.5,112
205,42.006,111.02,42,71.795,42.006,111.02,44
205,23.548,102.62,106,85.604,23.548,102.62,107
215,46.065,100.42,145,66.259,46.065,100.42,55
228,52.662,28.901,50,26.73,52.662,28.901,68
248,65.517,21.932,70,43.618,65.517,21.932,79
237,61.8,25.164,98,42.691,61.8,25.164,33
244,21.477,82.234,99,86.869,21.477,82.234,93
243,48.9,50.284,103,27.536,48.9,50.284,81
240,41.743,4.6098,85,41.488,41.743,4.6098,74
226,53.012,35.107,66,20.934,53.012,35.107,79
220,42.086,52.376,114,12.042,42.086,52.376,73
219,46.84,98.047,115,112.81,46.84,98.047,70
240,22.389,57.035,51,68.544,22.389,57.035,43
224,55.002,41.931,116,93.392,55.002,41.931,68
226,64.938,34.713,64,34.986,64.938,34.713,71
227,44.06,19.704,65,27.866,44.06,19.704,77
263,79.511,25.71,141,86.493,79.511,25.71,80
252,64.777,59.188,145,19.78,64.777,59.188,82
255,14.089,12.981,137,24.839,14.089,12.981,82
271,154.19,118.5,80,115.99,154.19,118.5,88
256,113.03,129.14,105,63.832,113.03,129.14,139
244,10.548,47.668,133,39.655,10.548,47.668,74
254,8.7321,41.14,134,46.575,8.7321,41.14,78
213,48.26,20.125,114,49.82,48.26,20.125,67
222,58.637,26.627,89,38.122,58.637,26.627,74
225,122.38,101.4,98,62.129,122.38,101.4,63
224,78.772,45.255,41,37.483,78.772,45.255,63
251,112.44,32.757,107,80.861,112.44,32.757,53
219,79.981,77.326,138,86.61,79.981,77.326,66
219,32.745,58.337,68,82.735,32.745,58.337,61
227,12.176,77.854,80,84.906,12.176,77.854,72
209,73.949,11.63,52,79.663,73.949,11.63,54
217,114.35,49.449,113,75.042,114.35,49.449,114
235,105.48,22.006,94,85.295,105.48,22.006,72
229,95.206,65.294,119,46.503,95.206,65.294,70
222,17.007,47.468,119,36.667,17.007,47.468,71
224,61.988,47.802,51,39.906,61.988,47.802,70
221,55.227,29.732,70,57.009,55.227,29.732,67
208,50.329,59.414,62,81.394,50.329,59.414,106
202,79.726,81.006,107,57.474,79.726,81.006,59
217,110.69,36.503,68,74.917,110.69,36.503,68
222,148.79,52.06,41,97.187,148.79,52.06,145
217,29.125,73.936,63,67.958,29.125,73.936,60
213,46.747,81.242,87,39.217,46.747,81.242,62
203,63.026,28.935,57,49.163,63.026,28.935,60
199,67.862,24.739,47,45.401,67.862,24.739,67
217,135.93,85.212,82,57.009,135.93,85.212,74
220,120.21,25.773,126,96.048,120.21,25.773,120
216,45.708,67.5,115,36.235,45.708,67.5,63
227,52.995,79.645,91,32.129,52.995,79.645,70
226,67.825,80.722,93,33.47,67.825,80.722,124
224,41.14,29.698,85,59.854,41.14,29.698,82
180,35.781,26.005,92,10.124,35.781,26.005,44
196,46.114,50.002,105,8.3217,46.114,50.002,40
199,129.05,53.724,43,88.013,129.05,53.724,36
189,38.161,30.373,77,49.308,38.161,30.373,35
202,19.906,16.867,116,5.2202,19.906,16.867,39
204,98.351,4.3012,118,94.088,98.351,4.3012,119
203,26.315,16.919,113,15.305,26.315,16.919,40
184,47.024,59.171,60,45.349,47.024,59.171,43
191,43.557,15.338,37,51.464,43.557,15.338,56
200,73.833,30.203,39,53.413,73.833,30.203,13
190,22.277,31.484,100,32.07,22.277,31.484,54
193,36.007,47.003,102,70.677,36.007,47.003,56
197,31.121,56.782,106,27.005,31.121,56.782,79
198,24.824,100.85,79,76.035,24.824,100.85,55
196,32.882,2,74,34.311,32.882,2,76
191,44.944,18.439,73,28.284,44.944,18.439,61
203,34.961,21.095,81,33.365,34.961,21.095,67
206,56.608,84.599,83,28.504,56.608,84.599,67
199,63.977,68.244,79,49.206,63.977,68.244,60
198,44.66,51.42,57,9.6177,44.66,51.42,58
195,30.232,22.594,77,40.577,30.232,22.594,59
213,25.598,68.9,115,57.14,25.598,68.9,72
219,41.62,8.0623,120,35.401,41.62,8.0623,52
